timestamp,src_ip,dst_ip,status,risk
2026-02-22 21:07:51,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:07:51,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:07:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:07:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:07:19,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:07:19,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:52,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:06:52,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:06:52,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:06:52,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:52,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:52,192.168.100.1,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:52,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:27,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:27,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:27,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:26,10.0.2.15,52.123.243.184,Anomaly Detected!,High
2026-02-22 21:06:26,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:26,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:26,10.0.2.15,142.250.187.10,Anomaly Detected!,High
2026-02-22 21:06:26,142.250.187.10,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:25,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:25,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:25,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:24,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:06:23,10.0.2.15,142.250.187.10,Anomaly Detected!,High
